date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:23:33	18162/18162	U-----	200	untouched ('OK')	text/html	etag:W/%22aba0a25500884d8a991b2851bdb6fdfc%22	https://layaly-carthage.vercel.app/	E:/layaly-carthage/layaly-carthage.vercel.app/index.html	(from )
22:23:34	2660/2660	U-----	200	untouched ('OK')	text/html	etag:W/%22aba0a25500884d8a991b2851bdb6fdfc%22	https://layaly-carthage.vercel.app/robots.txt		(from )
22:23:34	14/-1	---M--	308	error ('Permanent%20Redirect')	text/plain		http://layaly-carthage.vercel.app/favicon.ico	E:/layaly-carthage/layaly-carthage.vercel.app/favicon.0.delayed	(from https://layaly-carthage.vercel.app/)
22:23:34	14/-1	---M--	308	error ('Permanent%20Redirect')	text/plain		http://layaly-carthage.vercel.app/styles-TFP63U7O.css	E:/layaly-carthage/layaly-carthage.vercel.app/styles-TFP63U7O.2.delayed	(from https://layaly-carthage.vercel.app/)
22:23:35	15406/15406	U-----	200	untouched ('')	image/vnd.microsoft.icon	etag:W/%225d5cca569a9b2c7a640fdc625f1ed4ca%22	https://layaly-carthage.vercel.app/favicon.ico	E:/layaly-carthage/layaly-carthage.vercel.app/favicon.ico	(from https://layaly-carthage.vercel.app/)
22:23:35	14/-1	---M--	308	error ('Permanent%20Redirect')	text/plain		http://layaly-carthage.vercel.app/polyfills-S3BTP7ME.js	E:/layaly-carthage/layaly-carthage.vercel.app/polyfills-S3BTP7ME.4.delayed	(from https://layaly-carthage.vercel.app/)
22:23:35	316799/316799	U-----	200	untouched ('OK')	text/css	etag:W/%224d7293b37cbd17a00364c7348847af6a%22	https://layaly-carthage.vercel.app/styles-TFP63U7O.css	E:/layaly-carthage/layaly-carthage.vercel.app/styles-TFP63U7O.css	(from https://layaly-carthage.vercel.app/)
22:23:35	14/-1	---M--	308	error ('Permanent%20Redirect')	text/plain		http://layaly-carthage.vercel.app/scripts-EEEIPNC3.js	E:/layaly-carthage/layaly-carthage.vercel.app/scripts-EEEIPNC3.6.delayed	(from https://layaly-carthage.vercel.app/)
22:23:35	34037/34037	U-----	200	untouched ('')	application/javascript	etag:W/%227b58c022cb4bbc4f67584096e5688e78%22	https://layaly-carthage.vercel.app/polyfills-S3BTP7ME.js	E:/layaly-carthage/layaly-carthage.vercel.app/polyfills-S3BTP7ME.js	(from https://layaly-carthage.vercel.app/)
22:23:35	14/-1	---M--	308	error ('Permanent%20Redirect')	text/plain		http://layaly-carthage.vercel.app/main-BYVOCFQN.js	E:/layaly-carthage/layaly-carthage.vercel.app/main-BYVOCFQN.8.delayed	(from https://layaly-carthage.vercel.app/)
22:23:35	80336/80336	U-----	200	untouched ('')	application/javascript	etag:W/%22f9fb0cf2306407b8cde049e515841902%22	https://layaly-carthage.vercel.app/scripts-EEEIPNC3.js	E:/layaly-carthage/layaly-carthage.vercel.app/scripts-EEEIPNC3.js	(from https://layaly-carthage.vercel.app/)
22:23:36	130396/130396	U-----	200	untouched ('')	font/woff2	etag:%22cc1e5eda776be5f0ff614285c31d4892%22	https://layaly-carthage.vercel.app/media/bootstrap-icons-X6UQXWUS.woff2?24e3eb84d0bcaf83d77f904c78ac1f47	E:/layaly-carthage/layaly-carthage.vercel.app/media/bootstrap-icons-X6UQXWUSbf04.woff2	(from https://layaly-carthage.vercel.app/styles-TFP63U7O.css)
22:23:36	176032/176032	U-----	200	untouched ('')	font/woff	etag:%22ba49e844892321d8540ea3b7c088cf97%22	https://layaly-carthage.vercel.app/media/bootstrap-icons-OCU552PF.woff?24e3eb84d0bcaf83d77f904c78ac1f47	E:/layaly-carthage/layaly-carthage.vercel.app/media/bootstrap-icons-OCU552PFbf04.woff	(from https://layaly-carthage.vercel.app/styles-TFP63U7O.css)
22:23:36	197363/197363	U-----	200	untouched ('')	application/javascript	etag:W/%2219c6cca5adf414a3da5a6ba5c6cfee8d%22	https://layaly-carthage.vercel.app/main-BYVOCFQN.js	E:/layaly-carthage/layaly-carthage.vercel.app/main-BYVOCFQN.js	(from https://layaly-carthage.vercel.app/)
